Country,ActionWater,WaterType,Class_cane,Epidemic,YieldOldGrade,Type_Cane,GrooveWide,FertilizerType,TypeSoil,Fertilizer,TargetOldGrade,Area_Remain,ContractsArea,YieldGrade,FarmerContractGrade,TargetGrade,Rain_Avg,Yield_Category,YearBin
India,Water pour,Groundwater,2nd ratoon cane,Preemergent,Grade 1,Khonkean3,130 cm,Organic,Ferus soil,15-15-15,Grade 3,22.59,328.65,Grade 3,A,Grade 2,694.05,High,1990s
Nepal,Water pour,Groundwater,2nd ratoon cane,Herbicide,Grade 3,K99-72,150 cm,Chemical,Ferus soil,46-0-0,Grade 1,87.08,490.53,Grade 3,B,Grade 2,2761.78,High,1990s
Sri Lanka,Water pour,Groundwater,1st ratoon cane,Preemergent,Grade 3,Khonkean3,140 cm,Chemical,Loam,15-15-15,Grade 2,36.01,178.32,Grade 2,B,Grade 3,1705.47,Low,1990s
Sri Lanka,Rain,Rain,3rd ratoon cane,Preemergent,Grade 2,LK92-11,120 cm,Chemical,Ferus soil,16-16-16,Grade 1,74.36,186.89,Grade 1,C,Grade 1,1867.22,Low,2010s
Pakistan,Water pour,Natural canal,2nd ratoon cane,Herbicide,Grade 3,Khonkean3,120 cm,Organic,Loam,15-15-15,Grade 2,57.98,208.4,Grade 1,A,Grade 2,2532.05,High,1980s
India,Water pour,Rain,2nd ratoon cane,Herbicide,Grade 1,LK92-11,140 cm,Chemical,Loam,25-7-7,Grade 2,46.04,465.11,Grade 1,A,Grade 1,1805.3,Low,1980s
Nepal,Water pour,Natural canal,2nd ratoon cane,Preemergent,Grade 2,Khonkean3,120 cm,Chemical,Loam,25-7-7,Grade 3,9.49,58.59,Grade 1,C,Grade 1,2484.79,High,2010s
Sri Lanka,Rain,Natural canal,2nd ratoon cane,Preemergent,Grade 2,K99-72,150 cm,Organic,Silty clay,16-16-16,Grade 1,30.46,61.68,Grade 1,C,Grade 1,1162.23,High,1990s
Nepal,Rain,Rain,2nd ratoon cane,Preemergent,Grade 2,LK92-11,140 cm,Chemical,Loam,25-7-7,Grade 3,25.3,414.12,Grade 1,B,Grade 2,1890.05,High,1980s
Sri Lanka,Rain,Groundwater,1st ratoon cane,Herbicide,Grade 3,K99-72,130 cm,Organic,Silty clay,15-15-15,Grade 1,39.03,411.94,Grade 2,C,Grade 3,646.26,High,1990s
Sri Lanka,Water pour,Groundwater,2nd ratoon cane,Herbicide,Grade 3,Khonkean3,130 cm,Chemical,Loam,25-7-7,Grade 3,51.4,178.19,Grade 2,C,Grade 2,1912.64,High,2020s
Nepal,Rain,Groundwater,2nd ratoon cane,Preemergent,Grade 1,Khonkean3,140 cm,Chemical,Silty clay,25-7-7,Grade 3,40.75,184.84,Grade 1,C,Grade 2,541.33,Low,1970s
Nepal,Water pour,Rain,3rd ratoon cane,Herbicide,Grade 1,LK92-11,120 cm,Chemical,Loam,15-15-15,Grade 1,13.51,152.78,Grade 2,B,Grade 2,2181.0,High,2000s
India,Rain,Groundwater,2nd ratoon cane,Preemergent,Grade 2,LK92-11,140 cm,Chemical,Silty clay,25-7-7,Grade 2,92.48,53.63,Grade 3,A,Grade 1,2442.67,Low,2020s
India,Rain,Rain,2nd ratoon cane,Herbicide,Grade 2,LK92-11,130 cm,Organic,Ferus soil,25-7-7,Grade 1,17.71,89.57,Grade 2,A,Grade 1,1208.74,High,2010s
India,Water pour,Groundwater,1st ratoon cane,Preemergent,Grade 3,Khonkean3,130 cm,Chemical,Ferus soil,15-15-15,Grade 3,64.03,155.84,Grade 2,A,Grade 2,2071.61,High,2000s
Pakistan,Water pour,Groundwater,1st ratoon cane,Herbicide,Grade 1,LK92-11,140 cm,Organic,Loam,25-7-7,Grade 1,23.14,415.28,Grade 3,A,Grade 3,1880.41,High,1990s
India,Rain,Natural canal,1st ratoon cane,Herbicide,Grade 2,K99-72,130 cm,Chemical,Ferus soil,15-15-15,Grade 2,64.68,421.69,Grade 1,B,Grade 3,815.9,High,2010s
Nepal,Water pour,Rain,1st ratoon cane,Preemergent,Grade 2,Khonkean3,140 cm,Chemical,Loam,46-0-0,Grade 3,44.93,238.58,Grade 2,C,Grade 3,1021.49,Low,1970s
Nepal,Water pour,Groundwater,3rd ratoon cane,Herbicide,Grade 2,K84-200,150 cm,Organic,Silty clay,16-16-16,Grade 3,74.06,166.49,Grade 1,C,Grade 3,1882.18,Low,2010s
India,Water pour,Groundwater,1st ratoon cane,Herbicide,Grade 1,Khonkean3,150 cm,Organic,Ferus soil,16-16-16,Grade 3,83.68,313.16,Grade 3,B,Grade 2,2363.23,High,1980s
Nepal,Rain,Natural canal,3rd ratoon cane,Preemergent,Grade 2,Khonkean3,120 cm,Organic,Loam,46-0-0,Grade 2,35.97,46.46,Grade 3,C,Grade 2,2460.69,Low,1980s
India,Water pour,Groundwater,3rd ratoon cane,Herbicide,Grade 3,K99-72,120 cm,Chemical,Ferus soil,46-0-0,Grade 2,97.86,227.35,Grade 3,B,Grade 1,976.1,High,1980s
India,Water pour,Natural canal,2nd ratoon cane,Herbicide,Grade 1,K84-200,150 cm,Chemical,Loam,25-7-7,Grade 3,10.41,182.72,Grade 3,B,Grade 2,2189.23,High,1990s
India,Water pour,Rain,2nd ratoon cane,Preemergent,Grade 3,K84-200,140 cm,Chemical,Loam,15-15-15,Grade 1,14.88,287.72,Grade 1,A,Grade 3,667.6,High,1990s
Sri Lanka,Rain,Rain,1st ratoon cane,Preemergent,Grade 3,LK92-11,150 cm,Chemical,Loam,16-16-16,Grade 3,30.66,467.48,Grade 2,C,Grade 1,2962.03,High,1980s
Nepal,Water pour,Natural canal,3rd ratoon cane,Preemergent,Grade 1,K99-72,150 cm,Organic,Silty clay,15-15-15,Grade 2,38.37,352.43,Grade 3,B,Grade 2,1703.05,Low,2000s
India,Rain,Rain,2nd ratoon cane,Preemergent,Grade 3,LK92-11,130 cm,Organic,Loam,25-7-7,Grade 3,5.16,461.38,Grade 2,A,Grade 1,2450.91,High,2010s
Sri Lanka,Water pour,Groundwater,3rd ratoon cane,Herbicide,Grade 3,Khonkean3,140 cm,Chemical,Loam,25-7-7,Grade 2,72.16,368.14,Grade 3,A,Grade 2,534.43,High,1990s
India,Rain,Groundwater,3rd ratoon cane,Herbicide,Grade 1,Khonkean3,150 cm,Organic,Ferus soil,46-0-0,Grade 1,67.83,412.25,Grade 2,A,Grade 2,692.88,Low,1970s
India,Water pour,Rain,2nd ratoon cane,Preemergent,Grade 3,K84-200,140 cm,Chemical,Silty clay,25-7-7,Grade 2,84.85,234.52,Grade 2,B,Grade 3,2619.73,Low,1970s
Sri Lanka,Water pour,Rain,3rd ratoon cane,Herbicide,Grade 3,K84-200,120 cm,Organic,Silty clay,15-15-15,Grade 2,62.79,56.74,Grade 3,C,Grade 1,1873.45,High,2000s
India,Rain,Rain,1st ratoon cane,Preemergent,Grade 2,K99-72,140 cm,Chemical,Silty clay,15-15-15,Grade 1,32.84,227.54,Grade 3,B,Grade 2,692.69,High,2000s
Sri Lanka,Water pour,Natural canal,1st ratoon cane,Herbicide,Grade 1,K99-72,130 cm,Organic,Silty clay,46-0-0,Grade 2,35.62,276.76,Grade 3,A,Grade 3,2099.73,High,2000s
Sri Lanka,Rain,Rain,3rd ratoon cane,Herbicide,Grade 2,LK92-11,140 cm,Chemical,Silty clay,15-15-15,Grade 3,69.7,312.71,Grade 2,A,Grade 1,1602.19,High,2000s
Sri Lanka,Water pour,Rain,2nd ratoon cane,Preemergent,Grade 1,LK92-11,120 cm,Organic,Silty clay,16-16-16,Grade 1,23.13,179.62,Grade 3,C,Grade 3,1907.88,High,1980s
Nepal,Water pour,Natural canal,3rd ratoon cane,Herbicide,Grade 3,K84-200,140 cm,Organic,Silty clay,15-15-15,Grade 2,80.25,387.17,Grade 3,B,Grade 3,1788.53,High,1980s
Pakistan,Rain,Groundwater,1st ratoon cane,Preemergent,Grade 1,Khonkean3,120 cm,Chemical,Ferus soil,15-15-15,Grade 3,87.1,22.67,Grade 2,C,Grade 3,726.9,High,1970s
Nepal,Rain,Rain,3rd ratoon cane,Preemergent,Grade 2,LK92-11,150 cm,Organic,Loam,16-16-16,Grade 3,8.77,267.68,Grade 3,B,Grade 2,1662.14,High,2010s
Sri Lanka,Rain,Rain,1st ratoon cane,Preemergent,Grade 3,Khonkean3,130 cm,Organic,Ferus soil,46-0-0,Grade 1,8.42,41.96,Grade 2,B,Grade 1,2779.27,High,1990s
Sri Lanka,Water pour,Rain,2nd ratoon cane,Preemergent,Grade 3,Khonkean3,120 cm,Organic,Loam,16-16-16,Grade 1,84.51,18.42,Grade 2,B,Grade 1,2888.46,Low,1970s
Pakistan,Water pour,Natural canal,3rd ratoon cane,Preemergent,Grade 2,Khonkean3,120 cm,Organic,Ferus soil,15-15-15,Grade 1,77.73,205.7,Grade 1,C,Grade 3,2185.46,High,1990s
Bangladesh,Rain,Rain,1st ratoon cane,Herbicide,Grade 3,K99-72,130 cm,Organic,Loam,46-0-0,Grade 2,18.57,88.58,Grade 1,A,Grade 1,2090.61,Low,2000s
India,Rain,Rain,3rd ratoon cane,Herbicide,Grade 3,LK92-11,130 cm,Organic,Loam,46-0-0,Grade 2,85.29,137.16,Grade 1,A,Grade 3,2298.29,High,2000s
Bangladesh,Rain,Groundwater,3rd ratoon cane,Herbicide,Grade 3,K84-200,130 cm,Organic,Loam,15-15-15,Grade 1,40.83,177.96,Grade 1,B,Grade 2,2038.31,Low,1990s
Bangladesh,Rain,Natural canal,3rd ratoon cane,Herbicide,Grade 3,LK92-11,120 cm,Organic,Loam,25-7-7,Grade 1,63.04,454.03,Grade 1,B,Grade 1,2176.48,Low,1980s
Pakistan,Rain,Rain,2nd ratoon cane,Herbicide,Grade 1,Khonkean3,140 cm,Chemical,Loam,46-0-0,Grade 3,63.31,82.34,Grade 1,C,Grade 1,1010.85,Low,1990s
Bangladesh,Water pour,Natural canal,1st ratoon cane,Herbicide,Grade 3,Khonkean3,140 cm,Organic,Silty clay,46-0-0,Grade 3,18.15,27.41,Grade 3,C,Grade 2,2338.53,High,2000s
Nepal,Water pour,Groundwater,1st ratoon cane,Herbicide,Grade 3,K84-200,150 cm,Chemical,Loam,25-7-7,Grade 1,49.67,86.0,Grade 2,B,Grade 1,2097.41,High,1980s
Bangladesh,Rain,Groundwater,3rd ratoon cane,Preemergent,Grade 2,K84-200,120 cm,Chemical,Silty clay,16-16-16,Grade 2,83.34,198.96,Grade 3,A,Grade 2,2378.75,Low,1980s
Bangladesh,Rain,Groundwater,2nd ratoon cane,Preemergent,Grade 2,LK92-11,140 cm,Chemical,Silty clay,16-16-16,Grade 2,18.6,384.44,Grade 3,B,Grade 1,2752.91,High,1970s
Sri Lanka,Rain,Rain,2nd ratoon cane,Preemergent,Grade 2,LK92-11,130 cm,Chemical,Loam,25-7-7,Grade 1,62.55,375.41,Grade 1,A,Grade 1,1672.2,Low,1990s
Nepal,Water pour,Natural canal,2nd ratoon cane,Preemergent,Grade 1,K99-72,130 cm,Chemical,Loam,46-0-0,Grade 2,81.86,257.54,Grade 3,A,Grade 3,1722.71,Low,1980s
Pakistan,Rain,Groundwater,2nd ratoon cane,Herbicide,Grade 1,Khonkean3,130 cm,Organic,Silty clay,16-16-16,Grade 1,44.24,69.35,Grade 1,C,Grade 1,522.79,High,1980s
Sri Lanka,Rain,Natural canal,1st ratoon cane,Preemergent,Grade 1,K99-72,140 cm,Chemical,Silty clay,16-16-16,Grade 2,10.04,413.55,Grade 3,A,Grade 2,2213.12,Low,2000s
Nepal,Rain,Natural canal,2nd ratoon cane,Herbicide,Grade 3,Khonkean3,150 cm,Organic,Silty clay,15-15-15,Grade 1,55.98,216.16,Grade 1,A,Grade 3,660.31,Low,2010s
Bangladesh,Water pour,Natural canal,3rd ratoon cane,Preemergent,Grade 3,Khonkean3,130 cm,Chemical,Loam,46-0-0,Grade 2,6.07,133.5,Grade 3,C,Grade 3,2414.94,High,1980s
Bangladesh,Rain,Groundwater,2nd ratoon cane,Herbicide,Grade 1,K84-200,120 cm,Organic,Silty clay,16-16-16,Grade 1,24.29,295.3,Grade 3,C,Grade 1,1489.53,Low,1970s
India,Rain,Rain,1st ratoon cane,Preemergent,Grade 3,K99-72,130 cm,Chemical,Silty clay,15-15-15,Grade 2,94.0,344.32,Grade 1,A,Grade 2,950.66,Low,1980s
Pakistan,Rain,Natural canal,2nd ratoon cane,Preemergent,Grade 2,LK92-11,150 cm,Chemical,Silty clay,46-0-0,Grade 3,64.59,437.3,Grade 3,B,Grade 2,2517.16,Low,2020s
Sri Lanka,Water pour,Groundwater,2nd ratoon cane,Herbicide,Grade 2,K84-200,130 cm,Chemical,Loam,25-7-7,Grade 3,73.44,181.61,Grade 1,A,Grade 3,2098.59,Low,2010s
Pakistan,Rain,Natural canal,1st ratoon cane,Preemergent,Grade 2,LK92-11,140 cm,Chemical,Ferus soil,46-0-0,Grade 3,78.44,486.57,Grade 3,C,Grade 2,2782.28,High,1980s
Sri Lanka,Rain,Natural canal,1st ratoon cane,Preemergent,Grade 2,K84-200,130 cm,Organic,Loam,15-15-15,Grade 1,30.79,480.56,Grade 2,C,Grade 3,1405.76,Low,1990s
Bangladesh,Water pour,Rain,3rd ratoon cane,Herbicide,Grade 2,K84-200,140 cm,Chemical,Silty clay,16-16-16,Grade 2,97.2,226.47,Grade 1,C,Grade 2,863.46,Low,1990s
Pakistan,Water pour,Natural canal,2nd ratoon cane,Herbicide,Grade 3,Khonkean3,150 cm,Chemical,Silty clay,46-0-0,Grade 3,9.73,238.9,Grade 2,B,Grade 3,638.58,High,1980s
Nepal,Water pour,Rain,1st ratoon cane,Herbicide,Grade 3,K84-200,120 cm,Organic,Ferus soil,16-16-16,Grade 2,50.72,199.2,Grade 3,A,Grade 3,1266.72,Low,2000s
Bangladesh,Water pour,Natural canal,3rd ratoon cane,Herbicide,Grade 3,Khonkean3,130 cm,Chemical,Loam,46-0-0,Grade 1,73.65,415.17,Grade 2,B,Grade 2,1597.65,High,2010s
India,Water pour,Rain,1st ratoon cane,Herbicide,Grade 1,Khonkean3,130 cm,Chemical,Silty clay,16-16-16,Grade 3,79.62,170.8,Grade 3,C,Grade 2,2305.28,Low,2000s
Nepal,Rain,Rain,2nd ratoon cane,Preemergent,Grade 3,K99-72,140 cm,Chemical,Silty clay,46-0-0,Grade 3,54.44,97.99,Grade 3,B,Grade 3,1936.22,Low,1980s
Nepal,Water pour,Natural canal,2nd ratoon cane,Preemergent,Grade 1,K99-72,130 cm,Chemical,Silty clay,15-15-15,Grade 3,46.22,364.76,Grade 3,A,Grade 2,2897.42,Low,2020s
Pakistan,Rain,Rain,1st ratoon cane,Herbicide,Grade 2,K84-200,130 cm,Chemical,Ferus soil,25-7-7,Grade 3,88.78,154.43,Grade 3,A,Grade 3,1667.23,High,2000s
Bangladesh,Water pour,Rain,2nd ratoon cane,Preemergent,Grade 3,Khonkean3,150 cm,Chemical,Loam,15-15-15,Grade 3,79.12,144.61,Grade 1,C,Grade 3,2210.34,Low,1980s
Pakistan,Rain,Natural canal,3rd ratoon cane,Preemergent,Grade 1,K84-200,150 cm,Organic,Ferus soil,46-0-0,Grade 2,91.71,232.86,Grade 2,A,Grade 1,2224.04,High,2000s
Nepal,Water pour,Rain,3rd ratoon cane,Preemergent,Grade 2,Khonkean3,140 cm,Chemical,Silty clay,15-15-15,Grade 1,16.23,100.68,Grade 2,C,Grade 1,2696.38,High,1990s
Pakistan,Water pour,Natural canal,2nd ratoon cane,Herbicide,Grade 2,LK92-11,150 cm,Organic,Loam,15-15-15,Grade 1,32.29,220.71,Grade 1,C,Grade 2,1479.79,High,2000s
Sri Lanka,Water pour,Rain,2nd ratoon cane,Preemergent,Grade 1,Khonkean3,140 cm,Organic,Loam,16-16-16,Grade 1,19.45,232.94,Grade 2,B,Grade 1,602.95,Low,1990s
India,Rain,Groundwater,3rd ratoon cane,Preemergent,Grade 1,LK92-11,120 cm,Organic,Ferus soil,16-16-16,Grade 1,91.67,58.64,Grade 1,A,Grade 3,546.3,High,1990s
Nepal,Rain,Rain,1st ratoon cane,Preemergent,Grade 1,LK92-11,120 cm,Organic,Ferus soil,46-0-0,Grade 1,49.99,158.61,Grade 3,A,Grade 1,2796.56,Low,2010s
Nepal,Water pour,Groundwater,3rd ratoon cane,Preemergent,Grade 2,K99-72,120 cm,Organic,Silty clay,15-15-15,Grade 1,37.17,317.3,Grade 2,B,Grade 3,855.16,High,2020s
India,Rain,Natural canal,3rd ratoon cane,Preemergent,Grade 2,K99-72,120 cm,Organic,Ferus soil,16-16-16,Grade 1,41.16,442.03,Grade 3,C,Grade 2,918.65,Low,1970s
Nepal,Rain,Natural canal,2nd ratoon cane,Preemergent,Grade 3,Khonkean3,140 cm,Organic,Silty clay,46-0-0,Grade 2,44.65,49.33,Grade 3,C,Grade 3,836.32,Low,2000s
Bangladesh,Rain,Rain,1st ratoon cane,Herbicide,Grade 3,LK92-11,150 cm,Organic,Silty clay,16-16-16,Grade 2,61.0,308.98,Grade 3,C,Grade 1,1214.46,Low,1990s
Nepal,Rain,Rain,3rd ratoon cane,Preemergent,Grade 1,Khonkean3,150 cm,Chemical,Ferus soil,15-15-15,Grade 2,52.23,304.28,Grade 1,A,Grade 2,1664.83,High,1980s
India,Rain,Groundwater,3rd ratoon cane,Herbicide,Grade 3,LK92-11,150 cm,Chemical,Ferus soil,15-15-15,Grade 3,43.58,495.32,Grade 3,B,Grade 1,2886.7,High,2020s
