"","Year","Country","ActionWater","WaterType","Class_cane","Epidemic","YieldOldGrade","Type_Cane","GrooveWide","FertilizerType","TypeSoil","Fertilizer","TargetOldGrade","Yield","Area_Remain","ContractsArea","YieldGrade","FarmerContractGrade","TargetGrade","Rain_Avg"
"23",1996,"Bangladesh","Water pour","Natural canal","1st ratoon cane","Preemergent","Grade 1","K84-200","140 cm","Chemical","Silty clay","15-15-15","Grade 1",115.77,38.48,423.13,"Grade 1","A","Grade 3",2336.86
"24",1997,"Nepal","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 2","K84-200","150 cm","Chemical","Loam","46-0-0","Grade 2",180.4,98.69,258.93,"Grade 3","A","Grade 3",771.65
"25",1998,"India","Water pour","Groundwater","2nd ratoon cane","Herbicide","Grade 1","LK92-11","140 cm","Organic","Loam","25-07-2007","Grade 3",99.66,45.24,158.37,"Grade 2","A","Grade 1",2933.95
"26",1999,"India","Rain","Natural canal","3rd ratoon cane","Preemergent","Grade 2","Khonkean3","130 cm","Chemical","Silty clay","25-07-2007","Grade 2",187.4,64.18,97.16,"Grade 2","A","Grade 3",1421.47
"27",2000,"India","Rain","Natural canal","3rd ratoon cane","Preemergent","Grade 3","K99-72","150 cm","Chemical","Silty clay","46-0-0","Grade 2",114.61,86.81,283.93,"Grade 2","B","Grade 2",1906.3
"28",2001,"Bangladesh","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 3","K84-200","150 cm","Chemical","Silty clay","16-16-16","Grade 1",127.06,15.33,424.52,"Grade 1","B","Grade 3",2221
"29",2002,"India","Water pour","Rain","1st ratoon cane","Herbicide","Grade 2","K84-200","120 cm","Chemical","Loam","46-0-0","Grade 1",109.42,9.41,276.44,"Grade 3","C","Grade 2",2399.78
"33",2006,"Bangladesh","Rain","Groundwater","2nd ratoon cane","Herbicide","Grade 3","Khonkean3","120 cm","Organic","Loam","46-0-0","Grade 2",76.16,23.31,357.67,"Grade 3","B","Grade 2",719.17
"34",2007,"India","Water pour","Natural canal","2nd ratoon cane","Herbicide","Grade 2","LK92-11","150 cm","Chemical","Loam","15-15-15","Grade 3",194.24,51.79,300.15,"Grade 3","C","Grade 1",1503.87
"35",2008,"India","Water pour","Rain","2nd ratoon cane","Preemergent","Grade 1","Khonkean3","150 cm","Chemical","Loam","16-16-16","Grade 3",140.13,95.02,218.42,"Grade 1","A","Grade 2",847.06
"36",2009,"Sri Lanka","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 3","K99-72","150 cm","Organic","Loam","46-0-0","Grade 3",103.18,41.54,399.46,"Grade 1","B","Grade 2",1666.88
"37",2010,"India","Rain","Groundwater","3rd ratoon cane","Herbicide","Grade 2","LK92-11","150 cm","Organic","Ferus soil","25-07-2007","Grade 3",69.19,51.57,334.73,"Grade 2","B","Grade 3",2795.46
"39",2012,"Nepal","Rain","Rain","1st ratoon cane","Preemergent","Grade 3","LK92-11","150 cm","Chemical","Silty clay","16-16-16","Grade 2",184.29,46.41,290.74,"Grade 1","A","Grade 2",1086.02
"40",2013,"India","Water pour","Rain","1st ratoon cane","Herbicide","Grade 1","LK92-11","130 cm","Organic","Silty clay","16-16-16","Grade 1",70.06,60.8,221.55,"Grade 2","A","Grade 2",2277.1
"42",2015,"Bangladesh","Water pour","Rain","3rd ratoon cane","Herbicide","Grade 1","LK92-11","140 cm","Chemical","Ferus soil","46-0-0","Grade 3",150.44,75.92,225.37,"Grade 1","A","Grade 1",2720.82
"44",2017,"Pakistan","Rain","Rain","3rd ratoon cane","Preemergent","Grade 3","LK92-11","150 cm","Chemical","Silty clay","46-0-0","Grade 3",124.27,13.6,159.5,"Grade 2","A","Grade 3",620.35
"45",2018,"Pakistan","Rain","Natural canal","2nd ratoon cane","Herbicide","Grade 1","Khonkean3","150 cm","Organic","Ferus soil","16-16-16","Grade 1",55.72,56.51,114.67,"Grade 3","A","Grade 2",2518.28
"46",2019,"Pakistan","Rain","Rain","2nd ratoon cane","Preemergent","Grade 3","K99-72","150 cm","Chemical","Ferus soil","16-16-16","Grade 2",182.12,36.42,311.89,"Grade 3","B","Grade 1",2156.2
"48",2021,"Bangladesh","Rain","Natural canal","3rd ratoon cane","Herbicide","Grade 3","Khonkean3","120 cm","Organic","Silty clay","25-07-2007","Grade 3",180.67,64.32,124.58,"Grade 2","B","Grade 3",2588.31
"51",1974,"Sri Lanka","Rain","Natural canal","2nd ratoon cane","Herbicide","Grade 1","LK92-11","120 cm","Chemical","Silty clay","25-07-2007","Grade 1",83.78,33.05,158.09,"Grade 2","C","Grade 1",1768.89
"52",1975,"Nepal","Rain","Groundwater","1st ratoon cane","Herbicide","Grade 3","LK92-11","140 cm","Organic","Silty clay","25-07-2007","Grade 2",158.07,77.85,243.77,"Grade 2","B","Grade 3",779.02
"53",1976,"Bangladesh","Water pour","Groundwater","2nd ratoon cane","Preemergent","Grade 3","K99-72","130 cm","Organic","Ferus soil","16-16-16","Grade 1",136.05,74,170.81,"Grade 1","B","Grade 2",1878.47
"54",1977,"Nepal","Rain","Groundwater","2nd ratoon cane","Herbicide","Grade 3","LK92-11","140 cm","Chemical","Silty clay","16-16-16","Grade 3",145.64,90.44,27.51,"Grade 3","A","Grade 2",2769.37
"56",1979,"Pakistan","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 2","Khonkean3","120 cm","Chemical","Loam","16-16-16","Grade 1",86.31,48.22,186.62,"Grade 3","B","Grade 1",829.09
"58",1981,"Bangladesh","Rain","Natural canal","3rd ratoon cane","Preemergent","Grade 3","Khonkean3","130 cm","Organic","Silty clay","15-15-15","Grade 3",93.03,70.28,167.62,"Grade 1","C","Grade 3",1575.84
"59",1982,"Sri Lanka","Rain","Natural canal","3rd ratoon cane","Preemergent","Grade 1","K99-72","140 cm","Chemical","Ferus soil","15-15-15","Grade 2",72.62,68.15,360.97,"Grade 3","B","Grade 1",514.5
"60",1983,"Bangladesh","Rain","Natural canal","2nd ratoon cane","Herbicide","Grade 1","Khonkean3","130 cm","Chemical","Silty clay","46-0-0","Grade 1",56.75,75.43,490.06,"Grade 3","B","Grade 2",2510.37
"61",1984,"Bangladesh","Rain","Groundwater","3rd ratoon cane","Preemergent","Grade 1","K84-200","130 cm","Chemical","Ferus soil","25-07-2007","Grade 2",187.66,34.51,96.31,"Grade 3","C","Grade 3",548.11
"62",1985,"Sri Lanka","Rain","Natural canal","2nd ratoon cane","Herbicide","Grade 2","K84-200","150 cm","Chemical","Ferus soil","16-16-16","Grade 3",54.9,67.67,71.15,"Grade 2","C","Grade 2",1725.08
"63",1986,"Nepal","Rain","Rain","2nd ratoon cane","Preemergent","Grade 3","K99-72","140 cm","Organic","Loam","16-16-16","Grade 2",180.51,97.58,351.81,"Grade 2","B","Grade 2",793.5
"64",1987,"India","Rain","Natural canal","2nd ratoon cane","Herbicide","Grade 2","K99-72","130 cm","Chemical","Ferus soil","15-15-15","Grade 1",84.74,33.34,207.23,"Grade 1","C","Grade 2",593.28
"65",1988,"Pakistan","Rain","Natural canal","3rd ratoon cane","Herbicide","Grade 2","K84-200","140 cm","Chemical","Loam","15-15-15","Grade 1",146.22,17.02,348.61,"Grade 3","C","Grade 1",828.59
"66",1989,"Pakistan","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 3","LK92-11","150 cm","Chemical","Silty clay","15-15-15","Grade 1",132.03,5.82,109.33,"Grade 3","C","Grade 3",1214.4
"67",1990,"India","Water pour","Groundwater","2nd ratoon cane","Herbicide","Grade 1","K99-72","130 cm","Organic","Ferus soil","25-07-2007","Grade 3",75.7,82.78,326.92,"Grade 1","C","Grade 1",1403.75
"68",1991,"Nepal","Rain","Rain","2nd ratoon cane","Preemergent","Grade 3","K99-72","130 cm","Chemical","Loam","25-07-2007","Grade 2",67.48,55.28,423.73,"Grade 3","B","Grade 1",603.2
"70",1993,"Bangladesh","Rain","Natural canal","1st ratoon cane","Herbicide","Grade 2","Khonkean3","130 cm","Chemical","Silty clay","46-0-0","Grade 2",98.04,43.8,228.71,"Grade 3","C","Grade 3",1284.82
"71",1994,"Sri Lanka","Rain","Rain","1st ratoon cane","Herbicide","Grade 3","K99-72","120 cm","Organic","Silty clay","46-0-0","Grade 3",61.01,14.13,170.38,"Grade 3","B","Grade 3",2127.07
"72",1995,"Bangladesh","Rain","Rain","3rd ratoon cane","Herbicide","Grade 1","K99-72","130 cm","Organic","Silty clay","25-07-2007","Grade 2",154.73,54.93,393.79,"Grade 1","A","Grade 2",2036.08
"73",1996,"Sri Lanka","Rain","Rain","3rd ratoon cane","Preemergent","Grade 1","K84-200","150 cm","Chemical","Ferus soil","15-15-15","Grade 3",71.73,52.89,11.57,"Grade 2","C","Grade 2",2397.71
"74",1997,"India","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 2","K84-200","120 cm","Organic","Ferus soil","16-16-16","Grade 3",139.87,24.55,283.77,"Grade 1","B","Grade 1",1869.23
"75",1998,"Nepal","Water pour","Natural canal","2nd ratoon cane","Preemergent","Grade 1","LK92-11","150 cm","Chemical","Loam","16-16-16","Grade 2",184.6,62.42,176.83,"Grade 2","C","Grade 1",1253.58
"77",2000,"Sri Lanka","Rain","Natural canal","3rd ratoon cane","Herbicide","Grade 2","K84-200","150 cm","Organic","Loam","15-15-15","Grade 3",147.3,40.4,132.05,"Grade 1","B","Grade 3",591.13
"78",2001,"Bangladesh","Rain","Groundwater","1st ratoon cane","Herbicide","Grade 2","K84-200","150 cm","Chemical","Loam","25-07-2007","Grade 2",191.63,90.59,128.1,"Grade 3","A","Grade 3",1741.45
"80",2003,"Sri Lanka","Rain","Rain","2nd ratoon cane","Herbicide","Grade 3","K84-200","150 cm","Organic","Silty clay","46-0-0","Grade 3",193.75,90.1,351.85,"Grade 2","B","Grade 1",717.78
"82",2005,"Bangladesh","Water pour","Rain","1st ratoon cane","Preemergent","Grade 3","K99-72","150 cm","Organic","Loam","46-0-0","Grade 1",51.45,78.32,493.46,"Grade 1","A","Grade 1",2443.42
"83",2006,"Sri Lanka","Rain","Groundwater","2nd ratoon cane","Preemergent","Grade 1","K84-200","140 cm","Chemical","Ferus soil","16-16-16","Grade 2",78.25,6.77,316.14,"Grade 2","B","Grade 3",2806.52
"84",2007,"Pakistan","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 3","K99-72","130 cm","Chemical","Loam","46-0-0","Grade 1",77.23,38.03,95.2,"Grade 2","C","Grade 3",2504.21
"85",2008,"India","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 2","LK92-11","120 cm","Chemical","Silty clay","46-0-0","Grade 3",101.24,66.98,280.7,"Grade 3","A","Grade 2",1084.86
"86",2009,"India","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 2","Khonkean3","130 cm","Chemical","Loam","15-15-15","Grade 1",66.93,87.59,35.96,"Grade 3","B","Grade 1",2919.1
"88",2011,"Nepal","Rain","Rain","2nd ratoon cane","Herbicide","Grade 1","LK92-11","120 cm","Organic","Ferus soil","15-15-15","Grade 1",152.03,33.72,40.63,"Grade 2","C","Grade 3",2578.84
"89",2012,"India","Rain","Rain","2nd ratoon cane","Herbicide","Grade 2","LK92-11","120 cm","Chemical","Loam","16-16-16","Grade 2",58.05,78.15,173.86,"Grade 3","C","Grade 3",2779.18
"90",2013,"Bangladesh","Rain","Groundwater","2nd ratoon cane","Preemergent","Grade 2","LK92-11","140 cm","Chemical","Ferus soil","16-16-16","Grade 2",185.26,32.65,325.82,"Grade 2","B","Grade 2",2876.36
"91",2014,"Pakistan","Rain","Rain","3rd ratoon cane","Preemergent","Grade 1","LK92-11","150 cm","Organic","Loam","16-16-16","Grade 1",166.71,76.81,41.46,"Grade 3","C","Grade 1",2381.87
"92",2015,"Sri Lanka","Rain","Groundwater","1st ratoon cane","Herbicide","Grade 3","K84-200","140 cm","Organic","Loam","16-16-16","Grade 3",74.98,13.17,187.63,"Grade 2","C","Grade 1",2170.66
"93",2016,"India","Rain","Groundwater","1st ratoon cane","Preemergent","Grade 3","K84-200","120 cm","Organic","Silty clay","16-16-16","Grade 2",53.52,16.64,141.77,"Grade 2","C","Grade 2",1916.16
"94",2017,"Nepal","Rain","Natural canal","3rd ratoon cane","Herbicide","Grade 1","Khonkean3","120 cm","Chemical","Silty clay","46-0-0","Grade 2",51,76.77,113.03,"Grade 1","B","Grade 2",2263.68
"95",2018,"Nepal","Rain","Groundwater","1st ratoon cane","Preemergent","Grade 3","LK92-11","120 cm","Organic","Silty clay","46-0-0","Grade 2",126.74,91.56,243.71,"Grade 2","B","Grade 2",1376.41
"96",2019,"Sri Lanka","Rain","Rain","1st ratoon cane","Preemergent","Grade 3","K84-200","150 cm","Chemical","Ferus soil","46-0-0","Grade 2",113.17,21.87,15.16,"Grade 1","A","Grade 1",944.85
"97",2020,"Sri Lanka","Water pour","Natural canal","2nd ratoon cane","Preemergent","Grade 1","Khonkean3","140 cm","Chemical","Ferus soil","16-16-16","Grade 2",164.39,22.45,47.29,"Grade 2","B","Grade 3",2188.23
"98",2021,"Nepal","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 1","K99-72","130 cm","Chemical","Loam","16-16-16","Grade 3",145.35,72.99,328.79,"Grade 1","A","Grade 2",2005.66
"99",2022,"Bangladesh","Rain","Groundwater","3rd ratoon cane","Preemergent","Grade 1","Khonkean3","120 cm","Chemical","Silty clay","16-16-16","Grade 3",180.59,80,462.82,"Grade 2","B","Grade 1",1201.23
"101",1974,"Sri Lanka","Rain","Groundwater","3rd ratoon cane","Preemergent","Grade 1","LK92-11","140 cm","Chemical","Ferus soil","15-15-15","Grade 1",135.41,85.52,366.5,"Grade 3","A","Grade 3",2709.72
"102",1975,"Pakistan","Water pour","Natural canal","1st ratoon cane","Herbicide","Grade 2","K84-200","150 cm","Organic","Ferus soil","15-15-15","Grade 3",117.62,22.49,386.52,"Grade 1","C","Grade 2",1157.31
"103",1976,"Bangladesh","Rain","Natural canal","1st ratoon cane","Herbicide","Grade 3","Khonkean3","130 cm","Organic","Loam","16-16-16","Grade 1",101.24,20.85,473.99,"Grade 1","A","Grade 3",1517.34
"104",1977,"India","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 3","Khonkean3","140 cm","Organic","Loam","16-16-16","Grade 2",161.47,52.86,100.98,"Grade 1","A","Grade 2",736.09
"105",1978,"Nepal","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 1","Khonkean3","130 cm","Organic","Silty clay","15-15-15","Grade 1",81.33,59.99,23.21,"Grade 2","C","Grade 1",2025.81
"107",1980,"Pakistan","Rain","Groundwater","3rd ratoon cane","Preemergent","Grade 2","K84-200","120 cm","Chemical","Loam","25-07-2007","Grade 2",98.36,37.62,332.22,"Grade 1","C","Grade 2",2211.95
"109",1982,"India","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 1","K84-200","130 cm","Chemical","Silty clay","16-16-16","Grade 2",52.77,45.3,119.7,"Grade 3","A","Grade 3",2903.23
"110",1983,"Nepal","Water pour","Groundwater","1st ratoon cane","Herbicide","Grade 2","LK92-11","120 cm","Chemical","Loam","16-16-16","Grade 1",179.36,52.57,361.39,"Grade 3","C","Grade 3",2095.84
"111",1984,"Nepal","Water pour","Natural canal","1st ratoon cane","Preemergent","Grade 3","Khonkean3","130 cm","Chemical","Ferus soil","16-16-16","Grade 3",137.78,25.47,207.31,"Grade 1","C","Grade 2",2087.53
"112",1985,"India","Rain","Groundwater","2nd ratoon cane","Herbicide","Grade 3","K99-72","150 cm","Chemical","Silty clay","46-0-0","Grade 3",178.85,47.8,27.04,"Grade 1","A","Grade 1",1531.24
"114",1987,"India","Water pour","Natural canal","2nd ratoon cane","Herbicide","Grade 2","K84-200","150 cm","Organic","Silty clay","46-0-0","Grade 3",77.77,6.3,431.28,"Grade 2","C","Grade 2",2974.38
"115",1988,"Nepal","Water pour","Natural canal","1st ratoon cane","Herbicide","Grade 2","Khonkean3","120 cm","Organic","Loam","46-0-0","Grade 2",197.16,52.51,369.18,"Grade 1","C","Grade 1",2854.75
"116",1989,"Nepal","Water pour","Rain","1st ratoon cane","Herbicide","Grade 1","Khonkean3","120 cm","Organic","Silty clay","25-07-2007","Grade 3",120.35,32.41,129.7,"Grade 1","C","Grade 2",1996.62
"117",1990,"Nepal","Rain","Groundwater","2nd ratoon cane","Preemergent","Grade 1","LK92-11","150 cm","Organic","Silty clay","46-0-0","Grade 1",91.17,71.57,252.03,"Grade 1","C","Grade 2",885.18
"118",1991,"Nepal","Rain","Groundwater","3rd ratoon cane","Herbicide","Grade 3","LK92-11","150 cm","Organic","Silty clay","15-15-15","Grade 2",55.62,79.65,247.3,"Grade 1","B","Grade 3",1209.84
"120",1993,"Sri Lanka","Rain","Groundwater","1st ratoon cane","Preemergent","Grade 1","K99-72","120 cm","Chemical","Ferus soil","46-0-0","Grade 3",63.26,48.52,44.88,"Grade 2","A","Grade 2",1962.45
"121",1994,"Sri Lanka","Water pour","Natural canal","2nd ratoon cane","Preemergent","Grade 1","K84-200","120 cm","Chemical","Ferus soil","25-07-2007","Grade 1",52.82,22.71,246.15,"Grade 2","C","Grade 1",1981.64
"122",1995,"Pakistan","Rain","Natural canal","3rd ratoon cane","Preemergent","Grade 1","Khonkean3","140 cm","Organic","Loam","46-0-0","Grade 1",122.15,80.02,454.05,"Grade 3","C","Grade 1",2426.06
"124",1997,"Bangladesh","Water pour","Groundwater","3rd ratoon cane","Herbicide","Grade 2","Khonkean3","150 cm","Chemical","Loam","16-16-16","Grade 1",112.14,46.14,451.58,"Grade 2","A","Grade 3",1237.27
"125",1998,"Nepal","Water pour","Groundwater","2nd ratoon cane","Preemergent","Grade 3","K84-200","140 cm","Chemical","Silty clay","46-0-0","Grade 3",131.99,94.03,499.84,"Grade 1","B","Grade 1",774.05
"129",2002,"Pakistan","Water pour","Rain","1st ratoon cane","Herbicide","Grade 1","Khonkean3","140 cm","Chemical","Loam","25-07-2007","Grade 2",153.32,61.84,205.45,"Grade 2","B","Grade 1",1969.26
"130",2003,"India","Rain","Groundwater","1st ratoon cane","Herbicide","Grade 1","K99-72","150 cm","Organic","Ferus soil","46-0-0","Grade 2",164.59,81.29,463.83,"Grade 3","A","Grade 3",1786.79
"131",2004,"Sri Lanka","Water pour","Rain","3rd ratoon cane","Herbicide","Grade 3","Khonkean3","150 cm","Organic","Loam","46-0-0","Grade 3",56.92,90.18,429.96,"Grade 3","B","Grade 2",536.18
"133",2006,"Nepal","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 1","K84-200","150 cm","Chemical","Ferus soil","46-0-0","Grade 3",140.43,30.6,16.36,"Grade 2","B","Grade 2",2759.52
"135",2008,"Bangladesh","Water pour","Rain","3rd ratoon cane","Herbicide","Grade 3","K99-72","150 cm","Chemical","Silty clay","46-0-0","Grade 1",92.97,44.2,423.02,"Grade 2","C","Grade 1",1730.72
"136",2009,"Sri Lanka","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 2","K99-72","120 cm","Chemical","Ferus soil","25-07-2007","Grade 3",87.96,82.41,435.52,"Grade 3","C","Grade 3",1217.64
"138",2011,"Pakistan","Rain","Groundwater","2nd ratoon cane","Preemergent","Grade 3","K99-72","140 cm","Organic","Loam","16-16-16","Grade 2",151.64,49.42,243.57,"Grade 1","C","Grade 1",1172.21
"139",2012,"Nepal","Rain","Natural canal","3rd ratoon cane","Preemergent","Grade 1","K99-72","150 cm","Organic","Silty clay","16-16-16","Grade 1",60.16,8.53,288.88,"Grade 3","B","Grade 1",1528.09
"140",2013,"Pakistan","Water pour","Groundwater","3rd ratoon cane","Herbicide","Grade 2","K84-200","150 cm","Chemical","Silty clay","46-0-0","Grade 1",73.31,57.62,439.65,"Grade 3","C","Grade 1",2037.89
"141",2014,"India","Water pour","Natural canal","2nd ratoon cane","Herbicide","Grade 3","Khonkean3","120 cm","Chemical","Ferus soil","15-15-15","Grade 2",65.31,11.06,234.78,"Grade 2","C","Grade 1",2801.57
"142",2015,"India","Water pour","Groundwater","1st ratoon cane","Herbicide","Grade 1","K99-72","140 cm","Organic","Ferus soil","46-0-0","Grade 3",181.33,18.42,96.76,"Grade 1","A","Grade 3",1842
"143",2016,"Nepal","Rain","Natural canal","2nd ratoon cane","Preemergent","Grade 1","K84-200","130 cm","Organic","Ferus soil","46-0-0","Grade 3",54.47,19.36,447.07,"Grade 1","B","Grade 3",2784.29
"144",2017,"Sri Lanka","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 3","K84-200","150 cm","Chemical","Silty clay","25-07-2007","Grade 2",58.36,19.88,29.82,"Grade 2","C","Grade 3",2917.34
"145",2018,"Bangladesh","Water pour","Natural canal","2nd ratoon cane","Herbicide","Grade 3","Khonkean3","130 cm","Chemical","Silty clay","46-0-0","Grade 2",93.87,21.25,49.77,"Grade 2","C","Grade 3",2040.44
"147",2020,"Bangladesh","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 2","K99-72","130 cm","Chemical","Silty clay","15-15-15","Grade 2",175.38,83.62,41.41,"Grade 1","C","Grade 2",843.94
"148",2021,"Pakistan","Water pour","Groundwater","2nd ratoon cane","Herbicide","Grade 2","LK92-11","150 cm","Organic","Loam","25-07-2007","Grade 1",56.83,38.53,336.94,"Grade 1","C","Grade 1",1104.76
"149",2022,"Sri Lanka","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 3","Khonkean3","130 cm","Organic","Ferus soil","16-16-16","Grade 3",178.3,68.85,290.63,"Grade 3","B","Grade 1",738.08
"150",2023,"Sri Lanka","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 3","LK92-11","120 cm","Chemical","Loam","25-07-2007","Grade 1",94.5,95.31,218.2,"Grade 2","C","Grade 3",1819.9
"151",1974,"Pakistan","Water pour","Natural canal","2nd ratoon cane","Preemergent","Grade 3","Khonkean3","120 cm","Chemical","Loam","16-16-16","Grade 1",163.68,6.04,252.4,"Grade 3","A","Grade 1",1047.18
"152",1975,"Bangladesh","Rain","Rain","3rd ratoon cane","Herbicide","Grade 2","K99-72","120 cm","Chemical","Silty clay","25-07-2007","Grade 1",69.1,74.31,189.58,"Grade 2","B","Grade 2",1042.72
"154",1977,"Nepal","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 1","K84-200","150 cm","Chemical","Loam","15-15-15","Grade 3",134.26,89.01,436.06,"Grade 1","B","Grade 2",2345.44
"155",1978,"Sri Lanka","Water pour","Rain","2nd ratoon cane","Herbicide","Grade 1","Khonkean3","150 cm","Chemical","Ferus soil","25-07-2007","Grade 2",137.11,44.87,77.47,"Grade 2","A","Grade 2",892.13
"156",1979,"Bangladesh","Water pour","Rain","1st ratoon cane","Herbicide","Grade 1","K99-72","120 cm","Chemical","Silty clay","46-0-0","Grade 3",69.41,48.74,193.6,"Grade 1","C","Grade 1",2874.27
"157",1980,"Pakistan","Water pour","Rain","1st ratoon cane","Preemergent","Grade 1","Khonkean3","140 cm","Chemical","Silty clay","15-15-15","Grade 2",81.71,26.02,367.86,"Grade 1","B","Grade 2",2092.76
"158",1981,"Nepal","Water pour","Rain","3rd ratoon cane","Herbicide","Grade 3","LK92-11","130 cm","Organic","Loam","15-15-15","Grade 3",108.93,84.08,330.89,"Grade 2","A","Grade 1",2242.07
"159",1982,"Bangladesh","Rain","Groundwater","1st ratoon cane","Herbicide","Grade 3","LK92-11","130 cm","Chemical","Loam","46-0-0","Grade 3",165.15,21.99,413.55,"Grade 3","C","Grade 3",1440.04
"160",1983,"Bangladesh","Water pour","Natural canal","2nd ratoon cane","Preemergent","Grade 2","Khonkean3","150 cm","Chemical","Silty clay","25-07-2007","Grade 1",124.88,87.5,261.19,"Grade 1","B","Grade 1",1154.35
"161",1984,"Bangladesh","Water pour","Rain","1st ratoon cane","Herbicide","Grade 1","Khonkean3","120 cm","Organic","Loam","46-0-0","Grade 3",199.15,29.81,456.34,"Grade 2","B","Grade 3",2910.45
"162",1985,"Bangladesh","Water pour","Groundwater","2nd ratoon cane","Preemergent","Grade 2","LK92-11","140 cm","Organic","Silty clay","15-15-15","Grade 3",101.72,16.06,177.63,"Grade 1","A","Grade 1",2910.1
"164",1987,"India","Rain","Natural canal","2nd ratoon cane","Herbicide","Grade 2","Khonkean3","120 cm","Chemical","Silty clay","46-0-0","Grade 1",138.29,29.66,358.54,"Grade 1","C","Grade 2",989.83
